Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
109,A,HEDA,,C7H19N2+,C(CCC[NH3+])CCC[NH3+],"1,7-heptanediammonium",7-aminoheptlazanium,,"heptane-1,7-diamine",C(CCCN)CCCN,646-19-5,,2D database
110,A,PEDA,C5di,C5H16N2+2,C(CC[NH3+])CC[NH3+],"1,5-pentyldiammonium",5-azaniumylpentylazanium,,"pentane-1,5-diamine",C(CCN)CCN,462-94-2,,2D database
111,A,DAPO,,C3H12N2O+2,C(C(C[NH3+])O)[NH3+],"1,3-Diamino-2-propanol",(3-azaniumyl-2-hydroxypropyl)azanium,,"1,3-diaminopropan-2-ol",C(C(CN)O)N,616-29-5,,2D database
112,A,EDBE,,C6H17N2O2+,C(COCCOCCN)[NH3+],"2,2'-(ethylenedioxy)bis-(ethylammonium)",2-[2-(2-aminoethoxy)ethoxy]ethylazanium,,2-[2-(2-aminoethoxy)ethoxy]ethanamine,C(COCCOCCN)N,929-59-9,,2D database
113,A,CSEA,,C3H10N3S+,C(CSC(=N)N)[NH3+],2-(aminoethyl)isothiourea,2-carbamimidoylsulfanylethylazanium,,2-aminoethyl carbamimidothioate,C(CSC(=N)N)N,151-16-6,,2D database
114,A,AESE,,C4H14N2S2+2,C(CSSCC[NH3+])[NH3+],"2,2'-dithiobisethanammonium",2-(2-azaniumylethyldisulfanyl)ethylazanium,,2-(2-aminoethyldisulfanyl)ethanamine,C(CSSCCN)N,51-85-4,,2D database
115,A,FEA,,C2H7FN+,C(CF)[NH3+],2-fluoroethylammonium,2-fluoroethylazanium,,2-fluoroethanamine,C(CF)N,406-34-8,,2D database
116,A,ClAl,,C6H7ClN+,C1=CC(=CC=C1[NH3+])Cl,4-Chloroanilinium,(4-chlorophenyl)azanium,,4-chloroaniline,C1=CC(=CC=C1N)Cl,106-47-8,,2D database
117,A,3AMP,,C6H9N2+,C1=CC(=C[NH+]=C1)C[NH3+],3-(aminomethyl)pyridinium,pyridin-1-ium-3-ylmethylazanium,,pyridin-3-ylmethanamine,C1=CC(=CN=C1)CN,3731-52-0,,2D database
118,A,4PyMA,4AMP,C6H10N2+2,C1=C[NH+]=CC=C1C[NH3+],4-(aminomethyl)pyridinium,pyridin-1-ium-4-ylmethylazanium,,pyridin-4-ylmethanamine,C1=CN=CC=C1CN,3731-53-1,,2D database
119,A,DMEN,,C4H14N2+2,C[NH+](C)CC[NH3+],2-(Dimethylamino)etylamine,2-azaniumylethyl(dimethyl)azanium,,"N',N'-dimethylethane-1,2-diamine",CN(C)CCN,108-00-9,,2D database
120,A,DMABA,,C6H18N2+2,C[NH+](C)CCCC[NH3+],4-(Dimethylamino)butylamine,4-azaniumylbutyl(dimethyl)azanium,,"N',N'-dimethylbutane-1,4-diamine",CN(C)CCCCN,3529-10-0,,2D database
