Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n1_CC(C)(CC[NH3+])C(C)(C)CC[NH3+],MAPbCl3,Cl,1,CC(C)(CC[NH3+])C(C)(C)CC[NH3+],-497.70682559000005,86.0,8.55213932413948,7.739451130060097,12.731116424850992,91.18772711379984,86.91343604660638,91.56912062395114,-205.40703172,10,2,26,branch,even,-1.0103809552325589,38,-5.405448203157895
MAPbCl3_n3_[NH3+]CCCCCCCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCCCCCCC[NH3+],-1031.43514595,134.0,7.633535654169509,7.7602494387194945,29.622823487783,93.29656389975798,92.98805715374648,89.96992231726644,-205.48700074,10,2,26,lineal,even,-4.6303070482835835,38,-5.407552651052632
MAPbCl3_n1_CC(C)(CCC[NH3+])CCC[NH3+],MAPbCl3,Cl,1,CC(C)(CCC[NH3+])CCC[NH3+],-464.05237676999997,80.0,7.632958816555539,7.848192048896114,14.0421216614857,75.17868174532468,81.06765079155896,88.19061396913679,-188.49022561,9,2,24,branch,odd ,-1.0883990693749994,35,-5.385435017428572
MAPbCl3_n1_[NH3+]CCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCC[NH3+],-326.46325644,56.0,7.694078131509107,7.6369365678467895,12.38818002653415,89.2178984340377,88.83921348683602,90.0996080677803,-119.9004908,5,2,16,lineal,odd,-1.5475406221428574,23,-5.213064817391304
MAPbCl3_n1_[NH3+]CCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCC[NH3+],-257.65595194,44.0,7.5484503083248,7.628888559576181,9.629668248038119,97.48419779345919,93.00764818708574,88.3176799702221,-85.54443369,3,2,12,lineal,odd,-1.9674337400000004,17,-5.032025511176471
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,MAPbCl3,Cl,3,[NH3+]CCC1=CC=C(CC[NH3+])C=C1,-586.79821165,118.0,7.984179135388425,7.695005290769022,23.858154317922388,87.00034346459337,99.18900376801936,89.06058439799726,-174.85017724,10,2,18,benzene,even,-2.009303874322034,30,-5.8283392413333335
MAPbCl3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,MAPbCl3,Cl,1,[NH3+]CCC1=CC=C(CC[NH3+])C=C1,-436.89106982000004,70.0,7.811164704555493,7.486359209259399,14.129847840344164,83.09475529324646,106.43136703721584,90.12103302505177,-174.85017724,10,2,18,benzene,even,-1.2455816477142865,30,-5.8283392413333335
MAPbBr3_n1_CC(C)(CCC[NH3+])CCC[NH3+],MAPbBr3,Br,1,CC(C)(CCC[NH3+])CCC[NH3+],-462.36991219000004,80.0,7.915944732421943,8.02665661317731,15.121656104577019,96.99333038946564,83.98745451074277,91.34234419031053,-188.49022561,9,2,24,branch,odd ,-1.0673682621250002,35,-5.385435017428572
MAPbBr3_n1_[NH3+]C1CCC([NH3+])CC1,MAPbBr3,Br,1,[NH3+]C1CCC([NH3+])CC1,-344.93441492,58.0,7.741304083938377,8.580560707986244,10.622736497566857,95.83914261722,93.35852713520606,91.06520964426346,-129.72100752,6,2,16,cyclic,even,-1.4740068944827585,24,-5.40504198
MAPbBr3_n3_CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],MAPbBr3,Br,3,CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],,,7.741304083938377,8.580560707986244,10.622736497566857,95.83914261722,93.35852713520606,91.06520964426346,-273.96963262,14,2,34,branch,even,,50,-5.4793926524000005
